"","type","log_py_means","log_py_medians","log_pd_means","log_pd_medians","log_rat_means","log_rat_medians"
"1","insectivorous",-2.97649490953736,-3.11903048989848,-0.19768531886863,-0.155625491649087,-2.77880959066873,-2.6155823718929
"2","piscivorous",1.63552827510992,1.81807677754543,7.71223438647515,7.97246601597457,-6.07670611136523,-5.61677109766657
"3","planktivorous",-12.2973266641226,-13.9524764130374,-2.8444155291803,-3.83506196429202,-9.45291113494234,-9.82552601106642
"4","predacious",-3.3992920045753,-1.52326021619305,4.77986971956941,6.4118182677099,-8.1791617241447,-8.29090937545023
"5","predacious/piscivorous",2.41088614444964,2.61006979274201,6.06403752213459,6.38012253689976,-3.65315137768494,-3.71028336277709
